Gene	Is gene significantly up- or downregulated in aging MII oocytes?	Source	Species
Cdc16	down	Hamatini 2004	mouse
Cdc2a	down	Hamatini 2004	mouse
Cdc7l1	down	Hamatini 2004	mouse
Cdh2	down	Hamatini 2004	mouse
Cggbp1	down	Hamatini 2004	mouse
Chic2	down	Hamatini 2004	mouse
Cish3	down	Hamatini 2004	mouse
Cltb	down	Hamatini 2004	mouse
Colec12	down	Hamatini 2004	mouse
Cop1	down	Hamatini 2004	mouse
Copb2	down	Hamatini 2004	mouse
Cox7a2l	down	Hamatini 2004	mouse
Crk	down	Hamatini 2004	mouse
Crko	down	Hamatini 2004	mouse
Crr9	down	Hamatini 2004	mouse
Crsp6	down	Hamatini 2004	mouse
Cryl1	down	Hamatini 2004	mouse
Ctsh	down	Hamatini 2004	mouse
Cul1	down	Hamatini 2004	mouse
Cyb5	down	Hamatini 2004	mouse
Cyp39a1	down	Hamatini 2004	mouse
D11Moh35	down	Hamatini 2004	mouse
D14Ertd209e	down	Hamatini 2004	mouse
D17Ertd441e	down	Hamatini 2004	mouse
D19Bwg0552e	down	Hamatini 2004	mouse
D19Ertd386e	down	Hamatini 2004	mouse
D1Ertd251e	down	Hamatini 2004	mouse
D1Ucla4	down	Hamatini 2004	mouse
D1Wsu40e	down	Hamatini 2004	mouse
D2Ertd750e	down	Hamatini 2004	mouse
D330038K10Rik	down	Hamatini 2004	mouse
D430025H09Rik	down	Hamatini 2004	mouse
D4Wsu24e	down	Hamatini 2004	mouse
D6Ertd474e	down	Hamatini 2004	mouse
D6Wsu163e	down	Hamatini 2004	mouse
D7Ertd743e	down	Hamatini 2004	mouse
D8Ertd633e	down	Hamatini 2004	mouse
D9Ertd423e	down	Hamatini 2004	mouse
Ddb2	down	Hamatini 2004	mouse
Ddx4	down	Hamatini 2004	mouse
Ddx46	down	Hamatini 2004	mouse
Ddx48	down	Hamatini 2004	mouse
Dgcr8	down	Hamatini 2004	mouse
Dhx32	down	Hamatini 2004	mouse
Dhx36	down	Hamatini 2004	mouse
Dnaja1	down	Hamatini 2004	mouse
Dnajb6	down	Hamatini 2004	mouse
Dncic2	down	Hamatini 2004	mouse
Dnmt1	down	Hamatini 2004	mouse
Dnmt1	down	Hamatini 2004	mouse
Dusp14	down	Hamatini 2004	mouse
E030019A03Rik	down	Hamatini 2004	mouse
E330034G19Rik	down	Hamatini 2004	mouse
E430028B21Rik	down	Hamatini 2004	mouse
Eef1a1	down	Hamatini 2004	mouse
Eg1	down	Hamatini 2004	mouse
Eif2ak4	down	Hamatini 2004	mouse
Eif2b	down	Hamatini 2004	mouse
Eif2b3	down	Hamatini 2004	mouse
Eif3s4	down	Hamatini 2004	mouse
Eif3s6ip	down	Hamatini 2004	mouse
Eif4e	down	Hamatini 2004	mouse
ePAD	down	Hamatini 2004	mouse
Eps8	down	Hamatini 2004	mouse
Ermelin	down	Hamatini 2004	mouse
Esdn	down	Hamatini 2004	mouse
Etohd4	down	Hamatini 2004	mouse
Exo1	down	Hamatini 2004	mouse
Ezh2	down	Hamatini 2004	mouse
F13a	down	Hamatini 2004	mouse
Fdft1	down	Hamatini 2004	mouse
Fem1a	down	Hamatini 2004	mouse
Fgd6	down	Hamatini 2004	mouse
Fnta	down	Hamatini 2004	mouse
Fut8	down	Hamatini 2004	mouse
G430022H21Rik	down	Hamatini 2004	mouse
Ga17	down	Hamatini 2004	mouse
Galnt1	down	Hamatini 2004	mouse
GBP1	down	Hamatini 2004	mouse
Gdi3	down	Hamatini 2004	mouse
Ggta1	down	Hamatini 2004	mouse
Gja7	down	Hamatini 2004	mouse
Gmps	down	Hamatini 2004	mouse
Gnai3	down	Hamatini 2004	mouse
Gocap1	down	Hamatini 2004	mouse
Golga3	down	Hamatini 2004	mouse
Golga7	down	Hamatini 2004	mouse
Gpr1	down	Hamatini 2004	mouse
Grsf1	down	Hamatini 2004	mouse
Gtf2h1	down	Hamatini 2004	mouse
Gtr2	down	Hamatini 2004	mouse
Gyg1	down	Hamatini 2004	mouse
H2-M10.1	down	Hamatini 2004	mouse
Hadhb	down	Hamatini 2004	mouse
Hbld2	down	Hamatini 2004	mouse
Hbs1l	down	Hamatini 2004	mouse
Hcapg	down	Hamatini 2004	mouse
Hdac2	down	Hamatini 2004	mouse
Hic1	down	Hamatini 2004	mouse
Hip2	down	Hamatini 2004	mouse
Hmg2a	down	Hamatini 2004	mouse
Hmg4	down	Hamatini 2004	mouse
Hmgb3	down	Hamatini 2004	mouse
Hmgcl	down	Hamatini 2004	mouse
Hn1	down	Hamatini 2004	mouse
Hook1	down	Hamatini 2004	mouse
Hps5	down	Hamatini 2004	mouse
Hrb	down	Hamatini 2004	mouse
Hsf2bp	down	Hamatini 2004	mouse
Hsp40	down	Hamatini 2004	mouse
Hsp70-4	down	Hamatini 2004	mouse
Hsp86-1	down	Hamatini 2004	mouse
Hspa4	down	Hamatini 2004	mouse
Hspa8	down	Hamatini 2004	mouse
Idh3a	down	Hamatini 2004	mouse
Igbp1	down	Hamatini 2004	mouse
IgH	down	Hamatini 2004	mouse
Igh-1	down	Hamatini 2004	mouse
Igh-3	down	Hamatini 2004	mouse
Igh-6	down	Hamatini 2004	mouse
Igh-VS107	down	Hamatini 2004	mouse
Ik	down	Hamatini 2004	mouse
Il7	down	Hamatini 2004	mouse
Immt	down	Hamatini 2004	mouse
Inpp5f	down	Hamatini 2004	mouse
Jtb	down	Hamatini 2004	mouse
Kit	down	Hamatini 2004	mouse
Klf4	down	Hamatini 2004	mouse
Kpna2	down	Hamatini 2004	mouse
Kras2	down	Hamatini 2004	mouse
Lama2	down	Hamatini 2004	mouse
Lhx8	down	Hamatini 2004	mouse
Lyar	down	Hamatini 2004	mouse
Lyric	down	Hamatini 2004	mouse
Map2k1	down	Hamatini 2004	mouse
Map2k1	down	Hamatini 2004	mouse
Map4k5	down	Hamatini 2004	mouse
Mater	down	Hamatini 2004	mouse
Mcmd6	down	Hamatini 2004	mouse
Mdm4	down	Hamatini 2004	mouse
Metap2	down	Hamatini 2004	mouse
Mftc	down	Hamatini 2004	mouse
MGC47046	down	Hamatini 2004	mouse
Minpp1	down	Hamatini 2004	mouse
Mkln1	down	Hamatini 2004	mouse
Mmp2	down	Hamatini 2004	mouse
Mod1	down	Hamatini 2004	mouse
Morf4l2	down	Hamatini 2004	mouse
Mospd1	down	Hamatini 2004	mouse
Mospd2	down	Hamatini 2004	mouse
Mpzl1	down	Hamatini 2004	mouse
Mrgx	down	Hamatini 2004	mouse
Mrpl12	down	Hamatini 2004	mouse
Mrpl9	down	Hamatini 2004	mouse
Msh3	down	Hamatini 2004	mouse
Mtap	down	Hamatini 2004	mouse
Mtmr7	down	Hamatini 2004	mouse
Mtus1	down	Hamatini 2004	mouse
Mtus1	down	Hamatini 2004	mouse
Myo5b	down	Hamatini 2004	mouse
Myst1	down	Hamatini 2004	mouse
Nalp	down	Hamatini 2004	mouse
Nalp	down	Hamatini 2004	mouse
Narg1	down	Hamatini 2004	mouse
Ndfip2	down	Hamatini 2004	mouse
Ndn	down	Hamatini 2004	mouse
Ndr4	down	Hamatini 2004	mouse
Ndufs3	down	Hamatini 2004	mouse
Nek1	down	Hamatini 2004	mouse
Nek2	down	Hamatini 2004	mouse
Nin	down	Hamatini 2004	mouse
Nmt1	down	Hamatini 2004	mouse
Noc4	down	Hamatini 2004	mouse
Noc4	down	Hamatini 2004	mouse
Nssr	down	Hamatini 2004	mouse
Nup43	down	Hamatini 2004	mouse
Nup50	down	Hamatini 2004	mouse
Onecut1	down	Hamatini 2004	mouse
Opa1	down	Hamatini 2004	mouse
Osbpl9	down	Hamatini 2004	mouse
Paip2	down	Hamatini 2004	mouse
Pank2	down	Hamatini 2004	mouse
Papola	down	Hamatini 2004	mouse
Pcdhb17	down	Hamatini 2004	mouse
Pcnt2	down	Hamatini 2004	mouse
Pdcd6ip	down	Hamatini 2004	mouse
Pdhb	down	Hamatini 2004	mouse
Pepp2	down	Hamatini 2004	mouse
Phtf	down	Hamatini 2004	mouse
Pi4k2a	down	Hamatini 2004	mouse
Pigs	down	Hamatini 2004	mouse
Pik3cb	down	Hamatini 2004	mouse
Plat	down	Hamatini 2004	mouse
Plrg1	down	Hamatini 2004	mouse
Plxna2	down	Hamatini 2004	mouse
Pms1	down	Hamatini 2004	mouse
Pold3	down	Hamatini 2004	mouse
Polr2b	down	Hamatini 2004	mouse
Ppfibp2	down	Hamatini 2004	mouse
Ppid	down	Hamatini 2004	mouse
Ppp2r5e	down	Hamatini 2004	mouse
Prim2	down	Hamatini 2004	mouse
Prkar1a	down	Hamatini 2004	mouse
Psma6	down	Hamatini 2004	mouse
Psmb1	down	Hamatini 2004	mouse
Psmb4	down	Hamatini 2004	mouse
Psmc2	down	Hamatini 2004	mouse
Psmc3	down	Hamatini 2004	mouse
Psmd12	down	Hamatini 2004	mouse
Ptma	down	Hamatini 2004	mouse
Ptpra	down	Hamatini 2004	mouse
Ptprg	down	Hamatini 2004	mouse
Pus1	down	Hamatini 2004	mouse
Rab1	down	Hamatini 2004	mouse
Raver1	down	Hamatini 2004	mouse
Rbbp7	down	Hamatini 2004	mouse
Rbm12	down	Hamatini 2004	mouse
Rbm7	down	Hamatini 2004	mouse
Rdbp	down	Hamatini 2004	mouse
Rdx	down	Hamatini 2004	mouse
Rfc3	down	Hamatini 2004	mouse
Rg9mtd3	down	Hamatini 2004	mouse
Rhoh	down	Hamatini 2004	mouse
Rnaseh1	down	Hamatini 2004	mouse
Rnf19	down	Hamatini 2004	mouse
Rnf23	down	Hamatini 2004	mouse
Rnf34	down	Hamatini 2004	mouse
Rnf35	down	Hamatini 2004	mouse
Rnf4	down	Hamatini 2004	mouse
Rnf8	down	Hamatini 2004	mouse
Rpl4	down	Hamatini 2004	mouse
Rpl4	down	Hamatini 2004	mouse
Rras2	down	Hamatini 2004	mouse
Rybp	down	Hamatini 2004	mouse
Sdha	down	Hamatini 2004	mouse
Sec13l	down	Hamatini 2004	mouse
Sec22l2	down	Hamatini 2004	mouse
Serpini1	down	Hamatini 2004	mouse
Sf3b3	down	Hamatini 2004	mouse
Sfmbt	down	Hamatini 2004	mouse
Shh	down	Hamatini 2004	mouse
Shprh	down	Hamatini 2004	mouse
Shrm	down	Hamatini 2004	mouse
Siah2	down	Hamatini 2004	mouse
Slc31a2	down	Hamatini 2004	mouse
Slc4a1ap	down	Hamatini 2004	mouse
Slc4a8	down	Hamatini 2004	mouse
Slc6a15	down	Hamatini 2004	mouse
Smc4l1	down	Hamatini 2004	mouse
Snap23	down	Hamatini 2004	mouse
Snx14	down	Hamatini 2004	mouse
Spg3a	down	Hamatini 2004	mouse
Spin	down	Hamatini 2004	mouse
Spock2	down	Hamatini 2004	mouse
Srp54	down	Hamatini 2004	mouse
Ssfa2	down	Hamatini 2004	mouse
Ssh3bp1	down	Hamatini 2004	mouse
Ssr3	down	Hamatini 2004	mouse
Stat4	down	Hamatini 2004	mouse
Stk25	down	Hamatini 2004	mouse
Stx7	down	Hamatini 2004	mouse
Sucla2	down	Hamatini 2004	mouse
Sugt1	down	Hamatini 2004	mouse
Supv3l1	down	Hamatini 2004	mouse
Syngr3	down	Hamatini 2004	mouse
Tarbp2	down	Hamatini 2004	mouse
Tcea3	down	Hamatini 2004	mouse
Tde1l	down	Hamatini 2004	mouse
Tera	down	Hamatini 2004	mouse
Tert	down	Hamatini 2004	mouse
Tex292	down	Hamatini 2004	mouse
Tfdp2	down	Hamatini 2004	mouse
Timeless	down	Hamatini 2004	mouse
Timm10	down	Hamatini 2004	mouse
Tk2	down	Hamatini 2004	mouse
Tm4sf8	down	Hamatini 2004	mouse
Tmem5	down	Hamatini 2004	mouse
Tmpo	down	Hamatini 2004	mouse
Tmpo	down	Hamatini 2004	mouse
Tnfaip8	down	Hamatini 2004	mouse
Topors	down	Hamatini 2004	mouse
Tpd52l2	down	Hamatini 2004	mouse
Tpd52l2	down	Hamatini 2004	mouse
Tra1	down	Hamatini 2004	mouse
Trim24	down	Hamatini 2004	mouse
Tspyl	down	Hamatini 2004	mouse
Tuba2	down	Hamatini 2004	mouse
Tubd1	down	Hamatini 2004	mouse
Txnl	down	Hamatini 2004	mouse
Tyms	down	Hamatini 2004	mouse
Ubc	down	Hamatini 2004	mouse
Ube1c	down	Hamatini 2004	mouse
Ube2a	down	Hamatini 2004	mouse
Ube2e3	down	Hamatini 2004	mouse
Ube2g1	down	Hamatini 2004	mouse
Uble1b	down	Hamatini 2004	mouse
Upf2	down	Hamatini 2004	mouse
Usp1	down	Hamatini 2004	mouse
Usp1	down	Hamatini 2004	mouse
Usp30	down	Hamatini 2004	mouse
Usp38	down	Hamatini 2004	mouse
Vasa	down	Hamatini 2004	mouse
Vbp1	down	Hamatini 2004	mouse
Vcp	down	Hamatini 2004	mouse
Vdac3	down	Hamatini 2004	mouse
Vps26	down	Hamatini 2004	mouse
Wasf2	down	Hamatini 2004	mouse
Wbscr1	down	Hamatini 2004	mouse
Wdr20	down	Hamatini 2004	mouse
Xdh	down	Hamatini 2004	mouse
Ywhah	down	Hamatini 2004	mouse
Zfp216	down	Hamatini 2004	mouse
Zfp278	down	Hamatini 2004	mouse
Zfp68	down	Hamatini 2004	mouse
Zfp91	down	Hamatini 2004	mouse
Zipro1	down	Hamatini 2004	mouse
Znf212	down	Hamatini 2004	mouse
Zp1	down	Hamatini 2004	mouse
Zp3	down	Hamatini 2004	mouse
1700009P13Rik	up	Hamatini 2004	mouse
1700023B02Rik	up	Hamatini 2004	mouse
2010005I16Rik	up	Hamatini 2004	mouse
2310061F22Rik	up	Hamatini 2004	mouse
2310075M15Rik	up	Hamatini 2004	mouse
2610318I01Rik	up	Hamatini 2004	mouse
2610318I01Rik	up	Hamatini 2004	mouse
2700063G02Rik	up	Hamatini 2004	mouse
2810040O04Rik	up	Hamatini 2004	mouse
2810468K05Rik	up	Hamatini 2004	mouse
2900042E17Rik	up	Hamatini 2004	mouse
4921522K05Rik	up	Hamatini 2004	mouse
4930420O11Rik	up	Hamatini 2004	mouse
4933427D06Rik	up	Hamatini 2004	mouse
4933434L15Rik	up	Hamatini 2004	mouse
5730465C04Rik	up	Hamatini 2004	mouse
5830416A07Rik	up	Hamatini 2004	mouse
6330441O12Rik	up	Hamatini 2004	mouse
8030486F04Rik	up	Hamatini 2004	mouse
8430408J09Rik	up	Hamatini 2004	mouse
9430078B04	up	Hamatini 2004	mouse
9530064J02	up	Hamatini 2004	mouse
9630015D15Rik	up	Hamatini 2004	mouse
A330041G23Rik	up	Hamatini 2004	mouse
A730011F23Rik	up	Hamatini 2004	mouse
A930019L04Rik	up	Hamatini 2004	mouse
A930035F14Rik	up	Hamatini 2004	mouse
AA536743	up	Hamatini 2004	mouse
Acaa	up	Hamatini 2004	mouse
AI507495	up	Hamatini 2004	mouse
AI848100	up	Hamatini 2004	mouse
Aldh4a1	up	Hamatini 2004	mouse
Apoe	up	Hamatini 2004	mouse
Apoe	up	Hamatini 2004	mouse
AW212607	up	Hamatini 2004	mouse
BC010250	up	Hamatini 2004	mouse
BC038313	up	Hamatini 2004	mouse
Bcl9	up	Hamatini 2004	mouse
Bmpr2	up	Hamatini 2004	mouse
Btla	up	Hamatini 2004	mouse
Cir	up	Hamatini 2004	mouse
Clcn2	up	Hamatini 2004	mouse
Clstn1	up	Hamatini 2004	mouse
Cpeb3	up	Hamatini 2004	mouse
Csnk1e	up	Hamatini 2004	mouse
Csnk2a1-rs4	up	Hamatini 2004	mouse
Dnmt3b	up	Hamatini 2004	mouse
Efnb1	up	Hamatini 2004	mouse
Frg1	up	Hamatini 2004	mouse
Gli3	up	Hamatini 2004	mouse
Gocap1	up	Hamatini 2004	mouse
Krt2-17	up	Hamatini 2004	mouse
Krt2-8	up	Hamatini 2004	mouse
Larp	up	Hamatini 2004	mouse
Madh1	up	Hamatini 2004	mouse
Matn2	up	Hamatini 2004	mouse
Mcm10	up	Hamatini 2004	mouse
MGC29021	up	Hamatini 2004	mouse
Midn	up	Hamatini 2004	mouse
Mme	up	Hamatini 2004	mouse
mt-Atp6	up	Hamatini 2004	mouse
mt-Co1	up	Hamatini 2004	mouse
mt-Co2	up	Hamatini 2004	mouse
mt-Co3	up	Hamatini 2004	mouse
mt-Nd3	up	Hamatini 2004	mouse
Myh9	up	Hamatini 2004	mouse
Myo10	up	Hamatini 2004	mouse
Nfatc2ip	up	Hamatini 2004	mouse
Nfkbia	up	Hamatini 2004	mouse
Nupr1	up	Hamatini 2004	mouse
Oosp1	up	Hamatini 2004	mouse
Pcm1	up	Hamatini 2004	mouse
Pik3r1	up	Hamatini 2004	mouse
Plcg2	up	Hamatini 2004	mouse
Ppp1r3c	up	Hamatini 2004	mouse
Prkce	up	Hamatini 2004	mouse
Ptbp1	up	Hamatini 2004	mouse
Ptpn11	up	Hamatini 2004	mouse
Rpl37a	up	Hamatini 2004	mouse
Rrbp1	up	Hamatini 2004	mouse
Senp1	up	Hamatini 2004	mouse
Sept6	up	Hamatini 2004	mouse
Sin3a	up	Hamatini 2004	mouse
Slc39a10	up	Hamatini 2004	mouse
Snrpf	up	Hamatini 2004	mouse
Tcf12	up	Hamatini 2004	mouse
Tgfb1i4	up	Hamatini 2004	mouse
Tnfrsf21	up	Hamatini 2004	mouse
Wbp11	up	Hamatini 2004	mouse
ABCC4	down	Steuerwald 2007	human
ACTR3	down	Steuerwald 2007	human
ADD3	down	Steuerwald 2007	human
ADH5	down	Steuerwald 2007	human
ADSS2	down	Steuerwald 2007	human
ADSS2	down	Steuerwald 2007	human
APACD	down	Steuerwald 2007	human
ARCN1	down	Steuerwald 2007	human
ARF4	down	Steuerwald 2007	human
ARF6	down	Steuerwald 2007	human
ARFGAP3	down	Steuerwald 2007	human
ARHI	down	Steuerwald 2007	human
ARP3BETA	down	Steuerwald 2007	human
ATF1	down	Steuerwald 2007	human
ATR	down	Steuerwald 2007	human
BACH1	down	Steuerwald 2007	human
BAF53A	down	Steuerwald 2007	human
BUB1B	down	Steuerwald 2007	human
BUB3	down	Steuerwald 2007	human
CA150	down	Steuerwald 2007	human
CA150	down	Steuerwald 2007	human
CAPN7	down	Steuerwald 2007	human
CBX3	down	Steuerwald 2007	human
CCNA2	down	Steuerwald 2007	human
CCNG1	down	Steuerwald 2007	human
CCNG2	down	Steuerwald 2007	human
CCNH	down	Steuerwald 2007	human
CD2AP	down	Steuerwald 2007	human
CD2AP	down	Steuerwald 2007	human
CDK7	down	Steuerwald 2007	human
CDK8	down	Steuerwald 2007	human
CDYL	down	Steuerwald 2007	human
CG8989	down	Steuerwald 2007	human
CHEK1	down	Steuerwald 2007	human
CIRBP	down	Steuerwald 2007	human
CLK1	down	Steuerwald 2007	human
CLPX	down	Steuerwald 2007	human
CREB1	down	Steuerwald 2007	human
CRM1	down	Steuerwald 2007	human
CRM1	down	Steuerwald 2007	human
CRSP2	down	Steuerwald 2007	human
CRYZ	down	Steuerwald 2007	human
CSE1L	down	Steuerwald 2007	human
CSPG6	down	Steuerwald 2007	human
CSPG6	down	Steuerwald 2007	human
CTSC	down	Steuerwald 2007	human
CTSL	down	Steuerwald 2007	human
D10S170	down	Steuerwald 2007	human
D13S106	down	Steuerwald 2007	human
DDX17	down	Steuerwald 2007	human
DDX3X	down	Steuerwald 2007	human
DDX5	down	Steuerwald 2007	human
DEK	down	Steuerwald 2007	human
DLG1	down	Steuerwald 2007	human
DMD	down	Steuerwald 2007	human
DYT1	down	Steuerwald 2007	human
EIF4A2	down	Steuerwald 2007	human
EIF4ENIF1	down	Steuerwald 2007	human
EPAS1	down	Steuerwald 2007	human
FBXO5	down	Steuerwald 2007	human
FEN1	down	Steuerwald 2007	human
FEZ2	down	Steuerwald 2007	human
G3BP	down	Steuerwald 2007	human
GCLC	down	Steuerwald 2007	human
GCLM	down	Steuerwald 2007	human
GLRX	down	Steuerwald 2007	human
GOSR2	down	Steuerwald 2007	human
GRP58	down	Steuerwald 2007	human
GRP58	down	Steuerwald 2007	human
GRP58	down	Steuerwald 2007	human
GTF2B	down	Steuerwald 2007	human
GTF2H2	down	Steuerwald 2007	human
HADHB	down	Steuerwald 2007	human
HADHB	down	Steuerwald 2007	human
HADHSC	down	Steuerwald 2007	human
HAGE	down	Steuerwald 2007	human
HCF-2	down	Steuerwald 2007	human
HIF1A	down	Steuerwald 2007	human
HIP2	down	Steuerwald 2007	human
HMGCR	down	Steuerwald 2007	human
HMGN1	down	Steuerwald 2007	human
IDH1	down	Steuerwald 2007	human
IDH3A	down	Steuerwald 2007	human
IFI16	down	Steuerwald 2007	human
KARS	down	Steuerwald 2007	human
KHLX	down	Steuerwald 2007	human
KIAA1225	down	Steuerwald 2007	human
KIF5B	down	Steuerwald 2007	human
KLF5	down	Steuerwald 2007	human
KLHL2	down	Steuerwald 2007	human
KLHL2	down	Steuerwald 2007	human
KPNA3	down	Steuerwald 2007	human
KPNA3	down	Steuerwald 2007	human
KPNA3	down	Steuerwald 2007	human
LIG	down	Steuerwald 2007	human
MBD4	down	Steuerwald 2007	human
MCM6	down	Steuerwald 2007	human
MID1	down	Steuerwald 2007	human
MTX2	down	Steuerwald 2007	human
MTX2	down	Steuerwald 2007	human
MYO15A	down	Steuerwald 2007	human
MYO6	down	Steuerwald 2007	human
N33	down	Steuerwald 2007	human
NAB1	down	Steuerwald 2007	human
NBS1	down	Steuerwald 2007	human
NBS1	down	Steuerwald 2007	human
NCE2	down	Steuerwald 2007	human
NDUFAB1	down	Steuerwald 2007	human
NDUFB1	down	Steuerwald 2007	human
NEBL	down	Steuerwald 2007	human
NFE2L2	down	Steuerwald 2007	human
NME5	down	Steuerwald 2007	human
NSF	down	Steuerwald 2007	human
NUP153	down	Steuerwald 2007	human
NUP54	down	Steuerwald 2007	human
NUP54	down	Steuerwald 2007	human
NUP88	down	Steuerwald 2007	human
O14974	down	Steuerwald 2007	human
O75872	down	Steuerwald 2007	human
ORC4L	down	Steuerwald 2007	human
ORC5L	down	Steuerwald 2007	human
P63	down	Steuerwald 2007	human
P73H	down	Steuerwald 2007	human
PDCL	down	Steuerwald 2007	human
PDIA6	down	Steuerwald 2007	human
PHLL1	down	Steuerwald 2007	human
PHTF1	down	Steuerwald 2007	human
PLS1	down	Steuerwald 2007	human
POLG2	down	Steuerwald 2007	human
POLI	down	Steuerwald 2007	human
PPP6C	down	Steuerwald 2007	human
PRC1	down	Steuerwald 2007	human
PRC1	down	Steuerwald 2007	human
PRKCA	down	Steuerwald 2007	human
PRKR	down	Steuerwald 2007	human
PRKR	down	Steuerwald 2007	human
PSMC2	down	Steuerwald 2007	human
PSMC6	down	Steuerwald 2007	human
PTTG1IP	down	Steuerwald 2007	human
Q12792	down	Steuerwald 2007	human
Q15573	down	Steuerwald 2007	human
Q7Z526	down	Steuerwald 2007	human
Q86W64	down	Steuerwald 2007	human
Q8N590	down	Steuerwald 2007	human
Q8N7D9	down	Steuerwald 2007	human
Q96RT1	down	Steuerwald 2007	human
Q9UNK7	down	Steuerwald 2007	human
Q9Y6Y8	down	Steuerwald 2007	human
RAB11A	down	Steuerwald 2007	human
RAB1A	down	Steuerwald 2007	human
RAB22A	down	Steuerwald 2007	human
RAB5A	down	Steuerwald 2007	human
RAD17	down	Steuerwald 2007	human
RAD17	down	Steuerwald 2007	human
RAN	down	Steuerwald 2007	human
RAN	down	Steuerwald 2007	human
RANBP2	down	Steuerwald 2007	human
RANBP2	down	Steuerwald 2007	human
RBBP8	down	Steuerwald 2007	human
RNP24	down	Steuerwald 2007	human
RPGR	down	Steuerwald 2007	human
RTCD1	down	Steuerwald 2007	human
SCAMP1	down	Steuerwald 2007	human
SEC23B	down	Steuerwald 2007	human
SEC24B	down	Steuerwald 2007	human
SEC63	down	Steuerwald 2007	human
SEPT7	down	Steuerwald 2007	human
SEPT7	down	Steuerwald 2007	human
SESN1	down	Steuerwald 2007	human
SLC25A13	down	Steuerwald 2007	human
SMARCA5	down	Steuerwald 2007	human
SMARCA5	down	Steuerwald 2007	human
SMARCA5	down	Steuerwald 2007	human
SMURF2	down	Steuerwald 2007	human
SNAP29	down	Steuerwald 2007	human
SNX3	down	Steuerwald 2007	human
SNX4	down	Steuerwald 2007	human
STAM2	down	Steuerwald 2007	human
STAU	down	Steuerwald 2007	human
STK3	down	Steuerwald 2007	human
STK6	down	Steuerwald 2007	human
STX3A	down	Steuerwald 2007	human
STXBP3	down	Steuerwald 2007	human
SURB7	down	Steuerwald 2007	human
SUV3	down	Steuerwald 2007	human
TBP	down	Steuerwald 2007	human
TBPL1	down	Steuerwald 2007	human
TPM1	down	Steuerwald 2007	human
TRIO	down	Steuerwald 2007	human
TWIST1	down	Steuerwald 2007	human
UBE2E1	down	Steuerwald 2007	human
UBE2G1	down	Steuerwald 2007	human
UBE2N	down	Steuerwald 2007	human
UGDH	down	Steuerwald 2007	human
UNRIP	down	Steuerwald 2007	human
USP1	down	Steuerwald 2007	human
USP8	down	Steuerwald 2007	human
USP9X	down	Steuerwald 2007	human
VCL	down	Steuerwald 2007	human
VDP	down	Steuerwald 2007	human
VDRIP	down	Steuerwald 2007	human
VPS26	down	Steuerwald 2007	human
VPS33B	down	Steuerwald 2007	human
VPS4B	down	Steuerwald 2007	human
VPS4B	down	Steuerwald 2007	human
VRK1	down	Steuerwald 2007	human
WASF1	down	Steuerwald 2007	human
WASF3	down	Steuerwald 2007	human
YES1	down	Steuerwald 2007	human
ZNF354A	down	Steuerwald 2007	human
ANAPC5	up	Steuerwald 2007	human
APP	up	Steuerwald 2007	human
ARF3	up	Steuerwald 2007	human
ARS	up	Steuerwald 2007	human
ATF7	up	Steuerwald 2007	human
ATP5A1	up	Steuerwald 2007	human
ATP5B	up	Steuerwald 2007	human
ATP5I	up	Steuerwald 2007	human
BHLHB2	up	Steuerwald 2007	human
BLCAP	up	Steuerwald 2007	human
BRD1	up	Steuerwald 2007	human
BRD4	up	Steuerwald 2007	human
BTF3	up	Steuerwald 2007	human
BTRC	up	Steuerwald 2007	human
C2/4GNT	up	Steuerwald 2007	human
C5	up	Steuerwald 2007	human
CA12	up	Steuerwald 2007	human
CANX	up	Steuerwald 2007	human
CARS	up	Steuerwald 2007	human
CBFA2T1	up	Steuerwald 2007	human
CCT1 	up	Steuerwald 2007	human
CD59	up	Steuerwald 2007	human
CD59	up	Steuerwald 2007	human
CDC27	up	Steuerwald 2007	human
CDH3	up	Steuerwald 2007	human
CFL1	up	Steuerwald 2007	human
CHC1	up	Steuerwald 2007	human
CHRNA3	up	Steuerwald 2007	human
CHRNA5	up	Steuerwald 2007	human
CHRNA7	up	Steuerwald 2007	human
CHS1	up	Steuerwald 2007	human
CLTA	up	Steuerwald 2007	human
CNOT7	up	Steuerwald 2007	human
COG8	up	Steuerwald 2007	human
COX4I1	up	Steuerwald 2007	human
COX6A1	up	Steuerwald 2007	human
COX7A2	up	Steuerwald 2007	human
CRK	up	Steuerwald 2007	human
CRK7	up	Steuerwald 2007	human
CRKL	up	Steuerwald 2007	human
CROC-1A	up	Steuerwald 2007	human
CROC-1B	up	Steuerwald 2007	human
CROP/LUC7A	up	Steuerwald 2007	human
CTPS	up	Steuerwald 2007	human
DARS	up	Steuerwald 2007	human
DDX10	up	Steuerwald 2007	human
DDX18	up	Steuerwald 2007	human
DOK1	up	Steuerwald 2007	human
DUSP6	up	Steuerwald 2007	human
DYRK1A	up	Steuerwald 2007	human
EDG5	up	Steuerwald 2007	human
EIF2AK1	up	Steuerwald 2007	human
EPRS	up	Steuerwald 2007	human
FBX20	up	Steuerwald 2007	human
FBXO7	up	Steuerwald 2007	human
FCER1G	up	Steuerwald 2007	human
FER	up	Steuerwald 2007	human
FGFR1	up	Steuerwald 2007	human
FGFR2	up	Steuerwald 2007	human
FMOD	up	Steuerwald 2007	human
GAK	up	Steuerwald 2007	human
